n	n.pts	min	neg_entries	total_entries
16	16	4.08126345763e-06	0	4913
16	32	1.90738911717e-06	0	4913
16	64	1.35504506567e-06	0	4913
16	128	1.21931741158e-06	0	4913
16	256	1.18448522612e-06	0	4913
16	512	1.17030202049e-06	0	4913
16	1024	1.14442065676e-06	0	4913
32	32	9.2917499298e-08	0	35937
32	64	4.84515250719e-08	0	35937
32	128	3.87060338883e-08	0	35937
32	256	3.60046339551e-08	0	35937
32	512	3.3777191272e-08	0	35937
32	1024	2.69122748879e-08	0	35937
64	64	3.57052980787e-09	0	274625
64	128	2.65344727318e-09	0	274625
64	256	2.30231743914e-09	0	274625
64	512	1.79997133722e-09	0	274625
64	1024	-7.00991339162e-12	1	274625
128	128	1.47608421071e-10	0	2146689
128	256	1.35449259825e-10	0	2146689
128	512	8.92927593735e-11	0	2146689
128	1024	-3.7223541139e-10	231	2146689
16	momi	1.29946936234e-06	0	4913
32	momi	3.69181677959e-08	0	35937
64	momi	2.09936298804e-09	0	274625
128	momi	1.29769840819e-10	0	2146689
